,task_1,task_1,task_2,task_2,task_3,task_3,task_4,task_4,task_5,task_5,task_6,task_6,task_7,task_7,task_8,task_8,task_9,task_9,task_10,task_10
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,,,,
62,,,,,,,,,,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],['Central Bulge (Moderate)'],['Central Bulge (Small)']
63,,,,,,,,,,,,,,,,,,,,
64,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
65,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Boxy)'],,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
73,,,,,['Edge On Disk (Yes)'],['Edge On Disk (No)'],['Merging (Merger)'],['Merging (Major Disturbance)'],['Bulge (Boxy)'],,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
74,,,,,,,,,,,,,,,,,,,,
75,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
76,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,
78,,,['Round'],['In Between'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
79,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,['Central Bulge (Moderate)'],['Central Bulge (Small)']
80,,,,,,,,,,,,,,,['Spiral Winding (Loose)'],['Spiral Winding (Medium)'],,,['Central Bulge (Large)'],['Central Bulge (Moderate)']
81,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
82,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,['Merging (Minor Disturbance)'],['Merging (None)'],,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)'],
83,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,
89,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,,,,
90,['Smooth'],['Artifact'],['Round'],,,,['Merging (None)'],,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,
95,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
96,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
97,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
98,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,['Strong Bar'],['No Bar'],,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],,,['Central Bulge (Moderate)'],['Central Bulge (None)']
99,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,
101,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,['Weak Bar'],['Strong Bar'],,,,,,,,
104,,,,,,,['Merging (Major Disturbance)'],['Merging (Minor Disturbance)'],,,['No Bar'],['Weak Bar'],['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,
105,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],['Spiral Arms (2)'],['Spiral Arms (cannot tell)'],,
106,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,['Central Bulge (Moderate)'],['Central Bulge (Small)']
109,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Moderate)']
110,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,['Weak Bar'],['No Bar'],['Spiral Arms (Yes)'],['Spiral Arms (No)'],['Spiral Winding (Medium)'],,['Spiral Arms (cannot tell)'],,,
115,,,,,,,,,,,,,,,,,,,,
116,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (No)'],['Merging (Merger)'],['Merging (None)'],,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (None)']
117,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,
122,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,
124,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,
127,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,
130,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,
133,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
134,,,,,,,,,,,,,,,['Spiral Winding (Loose)'],['Spiral Winding (Medium)'],,,,
135,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,
141,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,
144,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
145,,,,,,,,,,,,,,,,,,,,
146,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,['Spiral Winding (Tight)'],['Spiral Winding (Medium)'],,,,
151,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,['Merging (Merger)'],['Merging (Minor Disturbance)'],,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (None)'],
152,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,
155,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
156,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,['No Bar'],['Weak Bar'],['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,
160,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (No)'],['Merging (Merger)'],['Merging (None)'],,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Loose)'],,['Spiral Arms (2)'],,['Central Bulge (Small)']
161,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,
163,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],['Central Bulge (None)'],['Central Bulge (Small)']
164,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Moderate)'],
165,,,,,,,,,,,,,,,,,,,,
166,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,['Central Bulge (Small)'],['Central Bulge (Moderate)']
168,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,['Bulge (Rounded)'],['Bulge (None)'],,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,
172,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,
176,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,
179,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
180,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,['Merging (None)'],['Merging (Merger)'],['Bulge (Rounded)'],,,,,,,,,,,
181,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
182,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,
184,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,
186,['Smooth'],['Artifact'],['Round'],,,,['Merging (None)'],,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,
188,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
189,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
190,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,
192,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
193,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,
199,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
200,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
201,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,
203,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
204,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,,,,
205,,,['In Between'],['Cigar Shaped'],,,,,,,,,,,,,,,,
206,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
207,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,
209,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,
211,,,,,,,['Merging (Major Disturbance)'],['Merging (Minor Disturbance)'],,,['No Bar'],['Weak Bar'],['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],['Central Bulge (Small)'],['Central Bulge (Moderate)']
212,,,,,,,,,,,,,,,,,,,,
213,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
214,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
215,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,
219,['Artifact'],['Smooth'],,['Round'],,,,['Merging (None)'],,,,,,,,,,,,
220,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
221,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
222,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,,,,,,,,,,
223,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,
225,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,
229,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Large)']
230,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,
232,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
234,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
235,['Featured or Disk'],['Smooth'],,['Cigar Shaped'],['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,,
236,,,['In Between'],['Round'],,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
237,,,,,,,['Merging (None)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
238,,,,,,,['Merging (Major Disturbance)'],['Merging (None)'],,,['Strong Bar'],['Weak Bar'],,,,,,,,
239,,,,,,,,,,,,,,,,,,,,
240,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,['Spiral Arms (Yes)'],['Spiral Arms (No)'],['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Small)'],['Central Bulge (None)']
241,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,
246,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,['Spiral Arms (No)'],['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (cannot tell)'],,
247,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,
252,['Smooth'],['Featured or Disk'],['Round'],,,['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
253,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],['Merging (Minor Disturbance)'],['Merging (None)'],,['Bulge (None)'],,,,,,,,,,
254,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,
259,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (None)'],,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,['Spiral Arms (cannot tell)'],['Spiral Arms (2)'],,
268,,,,,,,,,,,,,,,['Spiral Winding (Medium)'],['Spiral Winding (Tight)'],,,,
269,,,,,,,,,,,['No Bar'],['Weak Bar'],,,,,,,,
270,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,
272,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
273,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],['Merging (Merger)'],['Merging (None)'],,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)']
274,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,
279,,,,,,,['Merging (Merger)'],['Merging (Minor Disturbance)'],,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,
281,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,['No Bar'],['Weak Bar'],,,['Spiral Winding (Loose)'],['Spiral Winding (Medium)'],,,,
286,,,,,,,,,,,,,,,,,,,,
287,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,['Spiral Arms (2)'],['Spiral Arms (cannot tell)'],['Central Bulge (Moderate)'],['Central Bulge (Small)']
289,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,
291,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Dominant)'],
292,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,['Strong Bar'],['Weak Bar'],,,,,,,,
295,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,
304,['Featured or Disk'],['Smooth'],,['Round'],['Edge On Disk (No)'],,,,,,['No Bar'],,['Spiral Arms (No)'],,,,,,['Central Bulge (Small)'],
305,['Smooth'],['Featured or Disk'],['Cigar Shaped'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,
307,['Featured or Disk'],['Smooth'],,['In Between'],['Edge On Disk (No)'],,,,,,['Weak Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Medium)'],,['Spiral Arms (2)'],,['Central Bulge (Moderate)'],
308,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,
311,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
312,,,['In Between'],['Round'],,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,
318,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
319,,,,,,,,,['Bulge (Rounded)'],['Bulge (None)'],,,,,,,,,,
320,['Artifact'],['Smooth'],,['Round'],,,,['Merging (None)'],,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,
328,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (No)'],['Merging (Merger)'],['Merging (None)'],,,,['No Bar'],,['Spiral Arms (Yes)'],,['Spiral Winding (Tight)'],,['Spiral Arms (cannot tell)'],,['Central Bulge (Small)']
329,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,
334,,,,,,,['Merging (Minor Disturbance)'],['Merging (None)'],,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,
337,['Smooth'],['Featured or Disk'],['In Between'],,,['Edge On Disk (Yes)'],,,,['Bulge (Rounded)'],,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,
339,['Smooth'],['Artifact'],['In Between'],,,,['Merging (None)'],,,,,,,,,,,,,
340,,,['Round'],['In Between'],,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,
342,,,,,,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,
344,,,,,,,['Merging (None)'],['Merging (Merger)'],,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,['Spiral Winding (Loose)'],['Spiral Winding (Medium)'],['Spiral Arms (1)'],['Spiral Arms (2)'],,
348,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,
351,,,['Cigar Shaped'],['In Between'],,,,,,,,,,,,,,,,
352,,,['In Between'],['Round'],,,['Merging (Merger)'],['Merging (None)'],,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,
