Objects,True Labels,Predicted Labels
J130029.93+023123.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J013527.84-004447.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J134918.34+084000.4.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J120347.58+101728.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J125004.29-040015.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J153125.53+081836.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J131207.98-024805.1.png,Spiral-Arms-Yes,Cigar-Shaped
J102945.48+035236.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J093022.52+035103.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J114559.49-014257.9.png,Spiral-Arms-Yes,Cigar-Shaped
J124656.63+043849.8.png,Spiral-Arms-Yes,Merging-Merger
J143034.11+002026.7.png,Spiral-Arms-Yes,Artifact
J022011.16+000916.1.png,Spiral-Arms-Yes,Artifact
J125621.73+110953.0.png,Spiral-Arms-Yes,Artifact
J130046.12+085458.1.png,Spiral-Arms-Yes,Cigar-Shaped
J012417.80+022120.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J122904.49+241225.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J124918.50-023240.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J143025.50+293405.5.png,Spiral-Arms-Yes,Artifact
J121454.39+132800.9.png,Spiral-Arms-Yes,Merging-Merger
J091331.80+193959.0.png,Spiral-Arms-Yes,Artifact
J110420.15+102116.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J150938.02+253706.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J120228.09+144608.3.png,Spiral-Arms-Yes,Merging-Merger
J142943.19+011543.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J141023.21+184917.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J123126.35-005606.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J130646.42+134258.4.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J130505.48+241611.9.png,Spiral-Arms-Yes,Artifact
J103539.95+154635.7.png,Spiral-Arms-Yes,Merging-Merger
J094507.96+140729.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
