Objects,True Labels,Predicted Labels
J130114.77+290834.9.png,Cigar-Shaped,Cigar-Shaped
J135948.65+275751.0.png,Cigar-Shaped,Cigar-Shaped
J144448.09-003045.9.png,Cigar-Shaped,Cigar-Shaped
J132010.56+113003.0.png,Cigar-Shaped,Cigar-Shaped
J152316.33+204529.3.png,Cigar-Shaped,Cigar-Shaped
J134736.75+002905.8.png,Cigar-Shaped,Cigar-Shaped
J150748.48+284956.6.png,Cigar-Shaped,Cigar-Shaped
J140516.74+245443.3.png,Cigar-Shaped,Cigar-Shaped
J135642.76+163426.8.png,Cigar-Shaped,Cigar-Shaped
J134334.61-001513.4.png,Cigar-Shaped,Cigar-Shaped
J140413.04-004221.5.png,Cigar-Shaped,Cigar-Shaped
J210848.77-065532.5.png,Cigar-Shaped,Cigar-Shaped
J160804.78+135435.6.png,Cigar-Shaped,Cigar-Shaped
J135221.86+091403.3.png,Cigar-Shaped,Cigar-Shaped
J134524.45+253449.5.png,Cigar-Shaped,Cigar-Shaped
J153525.79+041357.2.png,Cigar-Shaped,Cigar-Shaped
J144736.31+023816.9.png,Cigar-Shaped,Cigar-Shaped
J152857.97+224439.1.png,Cigar-Shaped,Cigar-Shaped
J142804.38+103425.6.png,Cigar-Shaped,Cigar-Shaped
J211215.03-032203.1.png,Cigar-Shaped,Cigar-Shaped
J154133.85+224843.4.png,Cigar-Shaped,Cigar-Shaped
J163316.03+262716.3.png,Cigar-Shaped,Cigar-Shaped
J151246.90+174832.1.png,Cigar-Shaped,Cigar-Shaped
J151742.95+080057.7.png,Cigar-Shaped,Cigar-Shaped
J125538.20+021125.9.png,Cigar-Shaped,Cigar-Shaped
J140436.81+072647.4.png,Cigar-Shaped,Cigar-Shaped
J134849.78+241159.9.png,Cigar-Shaped,Cigar-Shaped
J210341.77-072634.7.png,Cigar-Shaped,Cigar-Shaped
J150845.80+283026.3.png,Cigar-Shaped,Cigar-Shaped
J143618.06+153642.5.png,Cigar-Shaped,Cigar-Shaped
J144310.51+314337.1.png,Cigar-Shaped,Cigar-Shaped
J135043.06+224919.3.png,Cigar-Shaped,Cigar-Shaped
J124801.67+120053.5.png,Cigar-Shaped,Cigar-Shaped
J151245.41+154712.6.png,Merging-Merger,Cigar-Shaped
J150715.36-024437.9.png,Merging-Merger,Spiral-Arms-Yes
J145329.54+214820.9.png,Merging-Merger,Merging-Merger
J132125.59+204835.1.png,Merging-Merger,Merging-Merger
J145058.99+145821.4.png,Merging-Merger,Merging-Merger
J143650.52+080615.4.png,Merging-Merger,Merging-Merger
J144820.93+081621.5.png,Merging-Merger,Merging-Merger
J103132.83+185512.3.png,Merging-Merger,Merging-Merger
J150646.25+323233.8.png,Merging-Merger,Merging-Merger
J214143.69-001007.2.png,Merging-Merger,Artifact
J231258.10+171026.7.png,Merging-Merger,Merging-Merger
J133710.94+094952.6.png,Merging-Merger,Merging-Merger
J133853.33+020836.5.png,Merging-Merger,Merging-Merger
J144156.56+111646.4.png,Merging-Merger,Merging-Merger
J151113.23+000319.3.png,Merging-Merger,Merging-Merger
J163307.86+265616.6.png,Merging-Merger,Merging-Merger
J151110.42+023917.6.png,Merging-Merger,Merging-Merger
J133407.08+105143.9.png,Merging-Merger,Merging-Merger
J170547.69+241302.9.png,Merging-Merger,Merging-Merger
J153028.30-021613.0.png,Merging-Merger,Cigar-Shaped
J144712.35+255602.1.png,Merging-Merger,Merging-Merger
J232019.49-012254.9.png,Merging-Merger,Merging-Merger
J134650.26+232700.9.png,Merging-Merger,Merging-Merger
J145231.24+300924.4.png,Merging-Merger,Artifact
J130536.29+113518.5.png,Merging-Merger,Merging-Merger
J145212.34+274930.6.png,Merging-Merger,Merging-Merger
J134418.20+110214.1.png,Merging-Merger,Merging-Merger
J145432.02+130206.5.png,Merging-Merger,Merging-Merger
J150315.20+191939.8.png,Merging-Merger,Merging-Merger
J151252.03+073032.4.png,Merging-Merger,Merging-Merger
J145333.78+075051.6.png,Merging-Merger,Merging-Merger
J135817.80+102802.5.png,Merging-Merger,Merging-Merger
J160144.67+312512.4.png,Merging-Merger,Spiral-Arms-Yes
J152120.45+273520.0.png,Merging-Merger,Merging-Merger
J151708.12+300352.7.png,Merging-Merger,Merging-Merger
J153101.03-014828.3.png,Merging-Merger,Merging-Merger
J145904.32+212129.6.png,Merging-Merger,Merging-Merger
J153919.60+145816.7.png,Merging-Merger,Merging-Merger
J130810.86-032554.5.png,Merging-Merger,Merging-Merger
J144714.50+185130.9.png,Merging-Merger,Merging-Merger
J155628.72+190143.4.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J153551.89+060328.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J142944.54+153651.8.png,Spiral-Arms-Yes,Merging-Merger
J160035.04+285757.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J144229.03+103609.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J161105.66+294727.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J152038.60+302818.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J145303.24+085750.8.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J143506.99+060330.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J161515.49+002914.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J150738.91+095328.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J161017.70+153716.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J161312.68+141107.8.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J143519.72+002832.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J161916.83+194340.8.png,Spiral-Arms-Yes,Merging-Merger
J150213.63+000643.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J143550.40-023059.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J222225.70+024404.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J150641.38-012255.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J143933.49-014840.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J150721.96+065157.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J144739.58+103621.8.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J151748.09+074921.8.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J224545.86+000410.4.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J151909.20-023314.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J223223.48-005511.2.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J143940.36+242124.5.png,Spiral-Arms-Yes,Merging-Merger
J215115.30-074616.6.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J215202.24+010834.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J131701.64+045518.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J221938.26-005219.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J164234.96+135012.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J222009.99+075242.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J160003.76+281540.7.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J142949.76+343605.5.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J154002.95+261626.1.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J145508.12-010253.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J143620.05+202740.0.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J160622.90+194643.9.png,Spiral-Arms-Yes,Spiral-Arms-Yes
J151550.13+202842.3.png,Spiral-Arms-Yes,Spiral-Arms-Yes
